iter	RMSE
0	52679.99963
1	52358.70459
2	52004.24237
3	51498.51905
4	51157.21761
5	50829.16052
6	50426.63291
7	50024.5116
8	49679.31735
9	49302.09148
10	48999.90566
11	48606.45447
12	48278.73088
13	47984.56119
14	47736.38977
15	47414.1148
16	47104.69525
17	46849.63346
18	46557.5829
19	46257.81474
20	45977.29177
21	45706.06418
22	45517.39426
23	45280.02288
24	45097.04509
25	44887.08678
26	44611.48449
27	44351.18791
28	44176.56889
29	44012.73873
30	43801.03621
31	43586.27785
32	43365.23769
33	43244.06622
34	43072.7568
35	42878.0647
36	42657.50186
37	42485.87335
38	42310.43291
39	42098.30448
40	41847.4573
41	41644.08632
42	41434.52891
43	41214.95578
44	41021.21405
45	40833.30075
46	40674.12321
47	40507.79495
48	40294.596
49	40132.20693
50	39942.00063
51	39711.02453
52	39542.88685
53	39392.18335
54	39265.348
55	39152.65197
56	39032.99951
57	38910.3815
58	38766.02863
59	38558.22457
60	38448.75428
61	38296.80336
62	38141.1965
63	38022.97955
64	37894.6438
65	37761.60934
66	37621.46518
67	37467.64432
68	37355.07626
69	37244.30996
70	37108.61587
71	36925.65942
72	36778.0885
73	36691.30462
74	36606.13259
75	36457.08995
76	36343.44285
77	36223.64062
78	36125.47024
79	36021.03647
80	35887.91929
81	35786.72449
82	35672.10365
83	35598.69945
84	35471.02236
85	35350.18682
86	35211.5421
87	35134.31862
88	35031.39058
89	34912.90905
90	34766.50722
91	34679.09513
92	34642.44433
93	34530.1949
94	34428.74166
95	34275.3072
96	34183.29006
97	34155.62565
98	34047.34957
99	33962.36146
100	33814.98237
101	33726.92349
102	33650.47537
103	33621.90156
104	33506.94089
105	33421.3253
106	33367.06697
107	33279.18299
108	33203.7742
109	33140.35567
110	33078.24062
111	33006.92766
112	32930.74854
113	32884.92356
114	32820.08817
115	32708.48614
116	32629.77862
117	32578.7609
118	32514.41633
119	32433.92811
120	32404.52859
121	32360.41963
122	32288.33058
123	32223.57467
124	32171.22509
125	32070.98602
126	31943.20434
127	31874.63649
128	31818.25191
129	31739.86195
130	31655.20115
131	31576.1462
132	31496.51263
133	31439.47959
134	31324.86062
135	31226.79798
136	31177.04487
137	31111.08322
138	31051.47733
139	31015.85435
140	30894.3693
141	30828.11777
142	30773.03583
143	30716.51795
144	30689.07837
145	30672.16984
146	30597.80295
147	30550.75657
148	30486.17432
149	30448.97346
150	30387.17734
151	30313.86542
152	30275.47623
153	30211.93414
154	30138.18559
155	30067.28813
156	30031.77344
157	30016.27248
158	29975.99938
159	29908.81041
160	29878.28262
161	29853.43525
162	29770.56513
163	29714.69136
164	29623.51658
165	29572.83331
166	29541.02239
167	29510.48644
168	29462.38185
169	29440.9351
170	29386.49663
171	29335.53503
172	29286.31485
173	29254.46085
174	29226.73498
175	29157.4888
176	29060.34955
177	29009.30654
178	28959.11876
179	28878.16379
180	28851.13566
181	28793.53661
182	28725.85216
183	28670.38883
184	28641.91337
185	28627.04571
186	28545.32113
187	28497.86675
188	28468.56244
189	28444.04419
190	28384.57864
191	28322.3217
192	28293.90931
193	28265.78703
194	28239.26555
195	28211.64847
196	28185.61642
197	28119.43612
198	28093.95622
199	28056.211
200	28032.93227
201	27987.02946
202	27965.51032
203	27940.82961
204	27915.08573
205	27893.1675
206	27809.17952
207	27720.70565
208	27695.50558
209	27603.39257
210	27583.8536
211	27548.30178
212	27523.68409
213	27500.14265
214	27456.10114
215	27397.1636
216	27378.20927
217	27354.29402
218	27330.62315
219	27307.19401
220	27288.4592
221	27237.13465
222	27200.08484
223	27177.9836
224	27155.36146
225	27135.34492
226	27113.12653
227	27031.2275
228	27007.79418
229	26986.05696
230	26932.1138
231	26906.57259
232	26856.70063
233	26778.97791
234	26758.32489
235	26737.88101
236	26702.00416
237	26681.86243
238	26665.62255
239	26621.70194
240	26606.46206
241	26591.35805
242	26539.56994
243	26520.0152
244	26463.33579
245	26444.52015
246	26424.78443
247	26393.25257
248	26373.80238
249	26354.91945
250	26335.8063
251	26286.14359
252	26263.44063
253	26243.59678
254	26225.26342
255	26176.24808
256	26146.59984
257	26106.98551
258	26064.25263
259	26039.48416
260	26021.49612
261	25959.88285
262	25942.05871
263	25924.41384
264	25865.85583
265	25773.28193
266	25755.76671
267	25666.39837
268	25648.97565
269	25631.72926
270	25614.65738
271	25587.1057
272	25569.94932
273	25533.0161
274	25444.04158
275	25417.4684
276	25400.65845
277	25384.01915
278	25367.54871
279	25354.73746
280	25335.77377
281	25316.04395
282	25237.71395
283	25161.42227
284	25145.33454
285	25129.41173
286	25110.03385
287	25090.84694
288	25046.00684
289	25026.91377
290	25010.28059
291	24993.01512
292	24977.49298
293	24962.12851
294	24935.9136
295	24902.31589
296	24831.68095
297	24806.96314
298	24741.74223
299	24718.18372
300	24686.63468
301	24667.91578
302	24652.92203
303	24629.36549
304	24606.21866
305	24591.41714
306	24578.6658
307	24568.04517
308	24545.33627
309	24480.56865
310	24467.44686
311	24450.77436
312	24402.46535
313	24388.28466
314	24350.9635
315	24342.25175
316	24320.63739
317	24305.36628
318	24289.98118
319	24274.74902
320	24203.23444
321	24181.11463
322	24167.31061
323	24094.54764
324	24080.81534
325	24068.96843
326	24058.9299
327	24012.83215
328	23969.9142
329	23931.47355
330	23871.68609
331	23856.22481
332	23842.84516
333	23829.60316
334	23819.7913
335	23806.73906
336	23797.07503
337	23724.61561
338	23713.23755
339	23690.63682
340	23638.08402
341	23596.66605
342	23580.8442
343	23519.30316
344	23504.35984
345	23488.7794
346	23477.85872
347	23441.35729
348	23427.68142
349	23415.2997
350	23404.67459
351	23392.48106
352	23372.88259
353	23358.26299
354	23304.13224
355	23260.03557
356	23209.13218
357	23181.53924
358	23166.38674
359	23123.07383
360	23112.40102
361	23098.17037
362	23084.10931
363	23072.16905
364	23061.84276
365	23026.62142
366	22993.23613
367	22983.0425
368	22968.36071
369	22949.60535
370	22890.44177
371	22878.88677
372	22866.27123
373	22826.10137
374	22813.71593
375	22796.86239
376	22750.75281
377	22699.76875
378	22685.32284
379	22665.58662
380	22649.38404
381	22638.26743
382	22582.92188
383	22569.47917
384	22554.70624
385	22540.52819
386	22527.39947
387	22511.83899
388	22502.36933
389	22464.46169
390	22450.12455
391	22432.14729
392	22405.29795
393	22369.18949
394	22355.40691
395	22339.61914
396	22330.11575
397	22301.66819
398	22291.12956
399	22277.45759
400	22264.90312
401	22222.83142
402	22175.01132
403	22166.01526
404	22118.5966
405	22102.27869
406	22091.82774
407	22055.12122
408	22046.70562
409	21995.49464
410	21983.24933
411	21974.12309
412	21934.15832
413	21922.84217
414	21909.63494
415	21873.55648
416	21860.42736
417	21825.35759
418	21813.27381
419	21779.5741
420	21767.58365
421	21753.26649
422	21737.4923
423	21704.76045
424	21649.31435
425	21639.23834
426	21591.47118
427	21578.68586
428	21569.85189
429	21524.72603
430	21514.81725
431	21482.95174
432	21474.31844
433	21465.64408
434	21453.02421
435	21445.17371
436	21432.51454
437	21418.5429
438	21388.69973
439	21339.02405
440	21293.00299
441	21268.75172
442	21248.11088
443	21219.41052
444	21174.21586
445	21160.46913
446	21154.38688
447	21115.76299
448	21105.52034
449	21070.17811
450	21042.67512
451	21034.42798
452	21022.20857
453	21014.06252
454	21001.95711
455	20990.92256
456	20977.74276
