iter	Passed	Remaining
0	0	427
1	0	375
2	1	349
3	1	328
4	1	319
5	1	308
6	2	301
7	2	295
8	2	290
9	2	288
10	3	284
11	3	281
12	3	279
13	3	277
14	4	275
15	4	273
16	4	271
17	4	269
18	5	268
19	5	267
20	5	265
21	5	264
22	6	263
23	6	262
24	6	260
25	6	260
26	7	259
27	7	259
28	7	258
29	7	257
30	8	257
31	8	257
32	8	256
33	8	255
34	9	254
35	9	254
36	9	253
37	9	252
38	10	253
39	10	252
40	10	254
41	11	256
42	11	257
43	11	260
44	12	260
45	12	260
46	12	259
47	13	259
48	13	258
49	13	258
50	13	257
51	14	257
52	14	256
53	14	256
54	14	255
55	15	255
56	15	254
57	15	254
58	15	253
59	16	253
60	16	252
61	16	252
62	16	251
63	17	251
64	17	250
65	17	250
66	17	249
67	18	249
68	18	248
69	18	248
70	18	247
71	19	247
72	19	246
73	19	246
74	19	246
75	20	245
76	20	245
77	20	244
78	20	244
79	21	244
80	21	243
81	21	243
82	21	242
83	22	242
84	22	242
85	22	241
86	23	241
87	23	241
88	23	240
89	23	240
90	24	239
91	24	239
92	24	240
93	24	240
94	25	240
95	25	241
96	25	242
97	26	243
98	26	243
99	27	243
100	27	243
101	27	243
102	27	242
103	28	242
104	28	242
105	28	241
106	28	241
107	29	241
108	29	240
109	29	240
110	29	239
111	30	239
112	30	238
113	30	238
114	30	237
115	31	237
116	31	237
117	31	236
118	31	236
119	32	235
120	32	235
121	32	235
122	32	234
123	33	234
124	33	234
125	33	233
126	33	233
127	34	233
128	34	232
129	34	232
130	34	232
131	35	231
132	35	231
133	35	230
134	35	230
135	36	230
136	36	229
137	36	229
138	36	229
139	37	228
140	37	228
141	37	228
142	37	227
143	38	227
144	38	227
145	38	227
146	39	227
147	39	228
148	40	229
149	40	228
150	40	228
151	41	228
152	41	228
153	41	228
154	41	228
155	42	228
156	42	228
157	42	228
158	43	228
159	43	228
160	43	228
161	44	228
162	44	228
163	44	228
164	45	227
165	45	227
166	45	227
167	45	227
168	46	227
169	46	227
170	46	226
171	47	226
172	47	226
173	47	226
174	48	226
175	48	226
176	48	226
177	48	226
178	49	225
179	49	225
180	49	225
181	50	225
182	50	224
183	50	224
184	50	224
185	51	223
186	51	223
187	51	222
188	51	222
189	52	222
190	52	221
191	52	221
192	52	221
193	53	220
194	53	220
195	53	220
196	54	220
197	54	220
198	54	220
199	55	220
200	55	220
201	55	219
202	56	219
203	56	219
204	56	219
205	56	219
206	57	218
207	57	218
208	57	218
209	58	218
210	58	218
211	58	218
212	58	217
213	59	217
214	59	217
215	59	217
216	60	216
217	60	216
218	60	216
219	60	216
220	61	215
221	61	215
222	61	214
223	61	214
224	62	214
225	62	213
226	62	213
227	62	213
228	63	212
229	63	212
230	63	211
231	63	211
232	64	211
233	64	210
234	64	210
235	64	210
236	65	209
237	65	209
238	65	209
239	65	208
240	66	208
241	66	208
242	66	207
243	66	207
244	67	207
245	67	206
246	67	206
247	68	206
248	68	206
249	68	206
250	69	206
251	69	206
252	69	205
253	70	205
254	70	205
255	70	205
256	70	205
257	71	204
258	71	204
259	71	204
260	72	203
261	72	203
262	72	203
263	72	202
264	73	202
265	73	202
266	73	201
267	73	201
268	74	201
269	74	200
270	74	200
271	74	200
272	75	199
273	75	199
274	75	199
275	75	198
276	76	198
277	76	198
278	76	197
279	76	197
280	77	197
281	77	196
282	77	196
283	77	196
284	78	195
285	78	195
286	78	195
287	78	194
288	79	194
289	79	194
290	79	193
291	79	193
292	79	193
293	80	192
294	80	192
295	80	192
296	80	191
297	81	191
298	81	190
299	81	190
300	81	190
301	82	190
302	82	190
303	83	190
304	83	189
305	83	189
306	83	189
307	84	189
308	84	188
309	84	188
310	84	188
311	85	187
312	85	187
313	85	187
314	85	186
315	86	186
